,,,སྐྱིད་,,,སྐྱིད་པོ,,སྐྱིད་པ,,སྐྱིད་སྡུག,,,,,,,,,,,,སྐྱིད་ཤོས,,སྐྱིད་སྐྱིད,,
,,,སྐྱོན་,,,སྐྱོན་ཆ,,སྐྱོན་བྲལ,,སྐྱོན་བརྗོད,,སྐྱོན་ཤོར,,,,སྐྱོན་མེད,,སྐྱོན་འགའ,,སྐྱོན་ཅན,,,,སྐྱོན་སེལ,,
,,,སྤྲོ་,,,སྤྲོ་བ,,སྤྲོ་སྐྱིད,,སྤྲོ་སྣང,,སྤྲོ་བོ,,སྤྲོ་ཚོགས,,སྤྲོ་པོ,,སྤྲོ་སེམས,,སྤྲོ་འཛོམས,,སྤྲོ་གསེང,,སྤྲོ་ཉམས,,
,,,ཨེ་,,,ཨེ་ནས,,,,,,ཨེ་བདེན,,ཨེ་རག,,ཨེ་ཤེས,,ཨེ་མཐོང,,ཨེ་རིག,,ཨེ་ཆོག,,ཨེ་འཛུགས,,
,,,ཨེ་མ,,,,,,,,,,,,,,,,,,,,,,,
,,,ཁེ་,,,ཁེ་ཕན,,ཁེ་ལས,,ཁེ་བཟང,,ཁེ་པོ,,ཁེ་ཆེན,,ཁེ་བ,,,,ཁེ་བོ,,,,,,
,,,ཁོ་,,,ཁོ་རང,,ཁོ་ཚོ,,ཁོ་མོ,,ཁོ་བོ,,,,ཁོ་པ,,ཁོ་ཚོར,,ཁོ་བ,,ཁོ་ཚང,,,,
,,,གནང་,,,གནང་བ,,གནང་པ,,གནང་ཉིན,,གནང་མྱོང,,གནང་ཀྱོག,,གནང་རོགས,,གནང་རྒྱུ,,གནང་ཡུལ,,གནང་ས,,,,
,,,གནོད་,,,གནོད་པ,,གནོད་འཚེ,,གནོད་སྐྱོན,,གནོད་སྦྱིན,,གནོད་བསྐྱལ,,གནོད་སེམས,,,,གནོད་ལན,,གནོད་བྲལ,,,,
,,,གཡས་,,,གཡས་གཡོན,,གཡས་པ,,གཡས་འགྲམ,,གཡས་ཕྱོགས,,གཡས་རྟེན,,གཡས་རུ,,གཡས་སྐོར,,གཡས་རོགས,,,,,,
,,,གར་,,,གར་སྟེགས,,གར་བ,,གར་ཚད,,གར་ཆུང,,,,གར་པོ,,གར་རྒྱན,,གར་རྩེ,,,,,,
,,,གྲོས་,,,གྲོས་བསྡུར,,གྲོས་ཚོགས,,གྲོས་ཆོད,,གྲོས་མཐུན,,གྲོས་ཞིབ,,གྲོས་བསྡུས,,གྲོས་འགོ,,གྲོས་གཞི,,གྲོས་འདོན,,,,
,,,གླུ་,,,གླུ་གཞས,,གླུ་གར,,གླུ་དབྱངས,,གླུ་མ,,གླུ་ཆུང,,གླུ་སྐད,,གླུ་ལེན,,གླུ་ཚིག,,གླུ་སྒྲ,,,,
,,,གསོལ་,,,གསོལ་བ,,གསོལ་ཇ,,,,གསོལ་ཚིགས,,གསོལ་སྨན,,,,གསོལ་མཆོད,,གསོལ་སྟོན,,གསོལ་རས,,,,
,,,ཉལ་,,,ཉལ་ཁང,,ཉལ་བ,,ཉལ་ས,,ཉལ་ཆས,,,,ཉལ་མེད,,ཉལ་གོས,,ཉལ་ཚར,,,,,,
,,,དགག་,,,དགག་པ,,དགག་བྱ,,དགག་དབྱེ,,དགག་སྒྲུབ,,དགག་བཞག,,དགག་རྒྱུ,,དགག་རྒྱག,,དགག་ས,,དགག་ལན,,,,
,,,དགོངས་,,,དགོངས་པ,,དགོངས་དག,,དགོངས་དོན,,དགོངས་བཞེད,,དགོངས་ཚུལ,,དགོངས་འཆར,,དགོངས་གཞི,,དགོངས་ཞུ,,དགོངས་ཤོག,,,,
,,,དགོན་,,,དགོན་པ,,དགོན་སྡེ,,དགོན་ལག,,དགོན་གཉེར,,དགོན་རྙིང,,དགོན་ཆེན,,དགོན་གྲོང,,དགོན་བདག,,དགོན་ཁག,,,,
,,,དང་,,,,,དང་ལེན,,དང་བླངས,,,,,,,,,,,,,,,,
,,,དང་པོ,,,དང་པོ,,,,,,,,དང་ཐོག,,,,,,,,,,,,
དམིགས་བསལ་ཕྲད,,,དང་,,,,,,,,,,,,,,,,,,,,,,,
,,,དཔའ་,,,དཔའ་བོ,,དཔའ་རྩལ,,དཔའ་མོ,,དཔའ་ངར,,དཔའ་ཆེན,,,,,,,,,,,,
,,,དམའ་,,,དམའ་བ,,,,དམའ་མོ,,དམའ་རིམ,,དམའ་ས,,དམའ་བོ,,དམའ་ཤོས,,,,,,,,
,,,དྲི་,,,,,དྲི་མ,,དྲི་ཞིམ,,དྲི་མེད,,,,དྲི་བཟང,,དྲི་ལྡན,,,,,,,,
,,,དྲི་བ,,,དྲི་བ,,,,,,,,དྲི་ཚིག,,,,,,,,,,,,
,,,དུང་,,,,,དུང་དཀར,,,,དུང་ཕྲེང,,,,དུང་སྒྲ,,དུང་མཚོ,,དུང་སྐད,,,,,,
,,,དུང་བ,,,དུང་བ,དུང་ཞེན,,,,,,,,,,,,,,,,,,,
,,,དོ་,,,,,,,དོ་མཉམ,,,,,,དོ་བ,,དོ་ཟླ,,,,,,,,
,,,,,,དོ་སྣང,,དོ་དམ,,,,,,དོ་ནན,,,,,,དོ་ཁུར,,,,,,
,,,ནག་,,,ནག་པོ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ནག་གུང,,,,,,,,ནག་ཁུང,,,,,,,,
,,,ནུབ་,,,ནུབ་ཕྱོགས,,ནུབ་བྱང,,ནུབ་རྒྱུད,,ནུབ་གླིང,,,,,,,,,,ནུབ་ལམ,,,,
,,,ནུབ་ཇ,,,,,,,,,,,,,ནུབ་ཇ,,ནུབ་མོ,,,,,,,,
,,,ཕག་,,,ཕག་སྐྱག,,ཕག་རྙིང,,ཕག་ཤ,,ཕག་རྒོད,,ཕག་ཚིལ,,ཕག་ཁོག,,,,,,ཕག་སྤུ,,,,
,,,བཞག་,,,བཞག་པ,,བཞག་བཞག,,,,བཞག་ས,,བཞག་འཇོག,,བཞག་རྩིས,,,,བཞག་རྒྱུ,,,,,,
,,,བཞི་,,,བཞི་པ,,བཞི་ཆ,,,,བཞི་པོ,,བཞི་བོ,,བཞི་མདོ,,,,བཞི་ཙམ,,,,,,
,,,བལྟ་,,,བལྟ་བ,,བལྟ་རྒྱུ,,བལྟ་ཙམ,,བལྟ་ཀློག,,བལྟ་ས,,བལྟ་བྱེད,,བལྟ་ཞོར,,བལྟ་རིན,,བལྟ་ཀྱོག,,,,
,,,བསྒྱུར་,,,བསྒྱུར་བ,,བསྒྱུར་བཅོས,,བསྒྱུར་པ,,,,བསྒྱུར་རྩོམ,,,,བསྒྱུར་ནོར,,བསྒྱུར་དེབ,,བསྒྱུར་ས,,,,
,,,མཁྱེན་,,,མཁྱེན་པ,,མཁྱེན་བརྩེ,,མཁྱེན་རྟོགས,,མཁྱེན་མྱོང,,མཁྱེན་དཔྱོད,,མཁྱེན་ངེས,,མཁྱེན་ལྡན,,མཁྱེན་རྒྱ,,མཁྱེན་མཁྱེན,,,,
,,,མཁས་,,,མཁས་པ,,མཁས་དབང,,མཁས་གྲུབ,,མཁས་ཅན,,མཁས་མཆོག,,མཁས་པོ,,མཁས་ཆེན,,མཁས་ཤོས,,,,,,
,,,མངའ་,,,མངའ་རིས,,མངའ་མཛད,,མངའ་བ,,མངའ་ཁོངས,,མངའ་ཞབས,,མངའ་ཐང,,མངའ་སྡེ,,མངའ་བསྐྱེད,,,,,,
,,,མངོན་,,,མངོན་པ,,མངོན་བརྗོད,,,,,,,,མངོན་རྟགས,,,,མངོན་ཚུལ,,མངོན་ཆུང,,,,
,,,མངོན་འདོད,,,,,,,,,མངོན་འདོད,,མངོན་མཐོ,,,,,,,,,,,,
,,,མཇལ་,,,མཇལ་ཁ,,མཇལ་བ,,མཇལ་འཕྲད,,མཇལ་རྟེན,,མཇལ་སྐོར,,མཇལ་རྒྱུ,,མཇལ་འཛོམས,,མཇལ་ས,,མཇལ་དར,,,,
,,,མཚོ་,,,,,མཚོ་མོ,,མཚོ་ལྷོ,,མཚོ་ངོས,,མཚོ་ཁ,,མཚོ་ཆེན,,མཚོ་ཤར,,མཚོ་ཐོག,,མཚོ་བྱང,,,,
,,,མཚོན་,,,མཚོན་པ,,མཚོན་བྱེད,,མཚོན་དོན,,མཚོན་བྱ,,མཚོན་ཆ,,མཚོན་རྟགས,,མཚོན་ཚུལ,,མཚོན་དཔེ,,མཚོན་མདོག,,,,
,,,ཚོད་,,,ཚོད་དཔག,,ཚོད་ལེན,,ཚོད་ཟིན,,ཚོད་འཛིན,,ཚོད་རྒྱུགས,,ཚོད་ཙམ,,,,,,ཚོད་འཇལ,,,,
,,,ཞི་,,,ཞི་བ,,ཞི་བདེ,,ཞི་མཐུན,,ཞི་འཇམ,,ཞི་ཁྲོ,,,,ཞི་དྲག,,ཞི་འཇགས,,,,,,
,,,ཞུ་,,,ཞུ་བ,,ཞུ་དག,,ཞུ་རྒྱུ,,,,ཞུ་ས,,ཞུ་འདོད,,ཞུ་ནན,,ཞུ་རྐྱང,,ཞུ་ཆེན,,,,
,,,,,,ཞུ་བ,,,,,,,,,,,,,,,,,,,,
