,,,མ་,,མ་ཟད,,མ་གཞི,,,,མ་ལག,,མ་རྩ,མ་དངུལ,,མ་མཐའ,མ་ཡིག,,མ་ཚད,,,,,,,,,,,,,,,,,,,,,,,,,མ་དཔེ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,མ་ཡུམ,,མ་རྩོམ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,མ་དེབ,,,,,,མ་ཁྱིམ,,,,མ་ལུས,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,མ་རྒན
60/385,,,རང་,POST,རང་ཉིད,རང་རང,རང་དབང,རང་སྦྱོང,རང་འཇགས,,རང་ཁྱིམ,རང་དོན,རང་རྒྱུད,,,རང་ཅག,རང་ངོས,རང་ཡུལ,རང་ལུགས,རང་སེམས,,རང་ཚོ,,རང་སྐད,རང་མཚན,རང་སྐྱོན,རང་ལོ,རང་ཚུགས,རང་གྲོལ,རང་འགུལ,རང་རིགས,རང་བློ,རང་རྣམ,,རང་གཤིས,,རང་འགྲིག,,རང་མཐོང,རང་སྲོག,,རང་གྲོགས,རང་འགྲེལ,,1,རང་ཆས,1,རང་མོས,1,རང་སྡུག,1,རང་བྱོན,1,རང་ནུས,1,རང་རྒྱུ,1,རང་འཐག,1,རང་སྲོལ,1,རང་བཟོ,1,རང་འགན,1,རང་ཤེད,1,རང་སྣང,1,རང་བབ,1,རང་ཁྲིམས,,,1,རང་མགོ,,,1,རང་ལུས,1,རང་ཚོད,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ཆུ་,,,ཆུ་བོ,,ཆུ་སྒང,,ཆུ་མིག,ཆུ་བཤལ,ཆུ་ཁ,ཆུ་ཁུར,ཆུ་རྒྱུན,,ཆུ་ལོག,ཆུ་གླ,ཆུ་རགས,,ཆུ་རྐྱང,,ཆུ་རྩོད,ཆུ་དཀར,ཆུ་སྐྱེས,ཆུ་ཚན,ཆུ་མོ,ཆུ་ཕྲན,ཆུ་ཁམས,,ཆུ་ལམ,,ཆུ་ཕོ,ཆུ་ལེན,ཆུ་འཁོར,ཆུ་ལོ,ཆུ་སྦྱིན,ཆུ་ཆེན,ཆུ་ཀླུང,,ཆུ་གཏོར,ཆུ་མ,ཆུ་ནད,ཆུ་མཚམས,ཆུ་གཤེར,,ཆུ་སྐྱོན,,ཆུ་སྟོད,,ཆུ་ལྷ,,ཆུ་སྨད,,,,ཆུ་འགྲམ,,ཆུ་རྟ,,ཆུ་བུར,,ཆུ་ཤུགས,,ཆུ་གླང,,ཆུ་རླངས,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51/405,,,ཆུ་,POST,ཆུ་ཚོད,,ཆུ་ཚད,,,,,,,,ཆུ་བ,,,,,,,,,,,,,,ཆུ་འཛིན,,ཆུ་སེར,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ལས་དབང,,,,,,,,,,,,,,,,,ལས་སྔགས,,,,ལས་འབྲས,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41/810,,,ལས་,POST,ལས་ཀ,ལས་དོན,,ལས་ཁུངས,ལས་བྱེད,ལས་སྣེ,ལས་འགན,ལས་རིགས,ལས་བྱ,ལས་གཞི,ལས་མི,ལས་རིམ,ལས་སྣོན,ལས་འགུལ,,ལས་གྲྭ,ལས་ཐོག,ལས་རོགས,ལས་འཕྲོ,,ལས་འཛིན,ལས་བཟོ,ལས་རྒྱུ,,ལས་ཞུགས,ལས་གཉེར,ལས་མེད,ལས་པ,ལས་རྟེན,ལས་སྒྱུར,,ལས་གོས,ལས་སྒྲུབ,ལས་ངན,ལས་རྩོམ,ལས་མགོ,ལས་ཚིག,ལས་འཆར,,ལས་ཚུལ,1,ལས་ཞོར,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,དཔེ་བཤད,,,དཔེ་བསགས,,,,དཔེ་གསར,,,,,,,,,,,,དཔེ་སྟོན,,,དཔེ་དབྱིབས,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41/498,,,དཔེ་,POST,དཔེ་ཆ,དཔེ་ཁྲིད,དཔེ་མཛོད,དཔེ་རྙིང,དཔེ་དེབ,དཔེ་ཀློག,དཔེ་མཚོན,དཔེ་སྐྲུན,,དཔེ་ཚོགས,དཔེ་སྒྲོམ,,དཔེ་རས,དཔེ་ཡིག,དཔེ་བཟོ,,དཔེ་རིས,དཔེ་ཆོས,,,,དཔེ་རྒྱུན,དཔེ་བླངས,དཔེ་སྒྲིག,དཔེ་སྲོལ,,,,དཔེ་ཚད,དཔེ་གཟུགས,,,དཔེ་ཅན,དཔེ་རྩོམ,དཔེ་མཚམས,,དཔེ་ལོག,,,དཔེ་ཟབ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,རྒྱ་མ,རྒྱ་གླིང,,,,,,,,རྒྱ་ལོ,,,,,,,,,,,,,,,,,རྒྱ་རྩ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,རྒྱ་གར,,རྒྱ་གར,རྒྱ་ཡིག,,,རྒྱ་མི,རྒྱ་སྐད,,,རྒྱ་བོད,རྒྱ་རིགས,,རྒྱ་དཔེ,རྒྱ་གཞུང,རྒྱ་བོ,,,རྒྱ་ཐུག,རྒྱ་སྨན,རྒྱ་ཕག,,རྒྱ་རག,རྒྱ་དར,རྒྱ་བཟའ,རྒྱ་གོས,རྒྱ་དུང,རྒྱ་སྒོར,རྒྱ་མོ,,,རྒྱ་ལུགས,རྒྱ་དངུལ,རྒྱ་ལྷམ,,,རྒྱ་དཀར,རྒྱ་དམར,རྒྱ་ཟས,རྒྱ་རྒན,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38/448,,,རྒྱ་,POST,,,རྒྱ་ཆེ,རྒྱ་མཚོ,,,,,,,རྒྱ་ཁྱོན,,,,རྒྱ་བསྐྱེད,,,,,རྒྱ་ཆེན,,,,,,,,,རྒྱ་ཁྱབ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
