NOUN,PROPN,PRON,VERB,AUX,ADJ,ADV,ADP,DET,CCONJ,PART,NUM,INTJ,X,PUNCT,SYM
མིང་ཚིག,,ཚབ་ཚིག,བྱ་ཚིག,སྒྲུབ་ཚིག,རྒྱན་ཚིག,བསྣན་ཚིག,ཕྲད་ཚིག,གྲོགས་ཚིག,,,གྲངས་ཚིག,འབོད་ཚིག,,,
འཇལ་ཚིག,,,,,,མཚུངས་ཚིག,,,,,,,,,
